Russian,Polish
Начать (Я начал учить польский),Zacząć (Zacząłem naukę polskiego)
Среда (В среду я иду в бассейн),Środa (W środę idę na basen)
Фактически (Фактически ты прав),Faktycznie (Faktycznie masz rację)
Момент (Подожди минуту),Chwila (Poczekaj chwilę)
Добро; благо (Я сделал это для твоего блага),Dobro (Zrobiłem to dla twojego dobra)
Приветствовать; передать привет (Передай от меня привет своей семье),Pozdrowieć (Pozdrów ode mnie swoją rodzinę)
Следующий (Ответь на следующие вопросы),Następujący (Odpowiedz na następujące pytania)
Элемент (Этот элемент важный),Element (Ten element jest ważny)
Имя (Какое у тебя имя? [диал.]),Imno (Jakie masz imię?)
Бабушка (Моей бабушке восемьдесят лет),Babcia (Moja babcia ma osiemdziesiąt lat)
Мнение (Какое твоё мнение?),Opinia (Jaka jest twoja opinia?)
Наступить (Наступило изменение планов),Nastąpić (Nastąpiła zmiana planów)
Перерыв (Сделаем перерыв на кофе),Przerwa (Zróbmy przerwę na kawę)
Далёкий (У меня дальняя поездка),Daleki (Mam daleki wyjazd)
"Выслушать (Выслушай меня, пожалуйста)","Wysłuchać (Wysłuchaj mnie, proszę)"
Колонка (Прочитай текст в левой колонке),Kolumna (Przeczytaj tekst w lewej kolumnie)
Прочитать (Я прочитал интересную книгу),Przeczytać (Przeczytałem ciekawą książkę)
Свыше (Мне свыше тридцати лет),Ponad (Mam ponad trzydzieści lat)
Авария (У меня была автомобильная авария),Wypadek (Miałem wypadek samochodowy)
Собака (У меня собака породы голден ретривер),Pies (Mam psa rasy golden retriever)
Начальник (Мой начальник требовательный),Szef (Mój szef jest wymagający)
Выставка (Я был на выставке в музее),Wystawa (Byłem na wystawie w muzeum)
План (У меня план на выходные),Plan (Mam plan na weekend)
Объяснять (Объясни мне это ещё раз),Wyjaśniać (Wyjaśnij mi to jeszcze raz)
Причёска (У меня новая причёска),Fryzura (Mam nową fryzurę)
Средство; центр (Это центр города),Środek (To jest środek miasta)
Сотрудник (Я сотрудник банка),Pracownik (Jestem pracownikiem banku)
"Объяснение (Пожалуйста, объяснение)",Wyjaśnieć (Proszę o wyjaśnienie)
"Блюдо (Пожалуйста, блюдо дня)",Danie (Poproszę danie dnia)
Бояться (Не бойся),Bać (Nie bój się)
Награда (Я получил награду в конкурсе),Nagroda (Dostałem nagrodę w konkursie)
Идти (Я иду домой),Iść (Idę do domu)
Система (Новая система работает хорошо),System (Nowy system działa dobrze)
Поезд (Поезд в Гданьск отправляется в пять),Pociąg (Pociąg do Gdańska odjeżdża o piątej)
Блюдо (Это блюдо острое),Potrawa (Ta potrawa jest pikantna)
Столик (Забронируй столик на двоих),Stolik (Zarezerwuj stolik dla dwóch osób)
Обсудить (Мы обсудим это завтра),Omówić (Omówimy to jutro)
Касаться (Это касается нашего договора),Dotyczyć (To dotyczy naszej umowy)
Заинтересовать (Я хочу тебя заинтересовать этим проектом),Zainteresować (Chcę cię zainteresować tym projektem)
Предлагать (Я предлагаю пойти в кино),Proponować (Proponuję pójść do kina)
Чемодан (Упакуй чемодан для поездки),Walizka (Spakuj walizkę na wyjazd)
"Куртка (Возьми куртку, холодно)","Kurtka (Weź kurtkę, jest zimno)"
Подарок (Я получил подарок на день рождения),Prezent (Dostałem prezent urodzinowy)
Предложение (У меня есть предложение для тебя),Propozycja (Mam propozycję dla ciebie)
Сообщество (Мы живём в жилищном товариществе),Wspólnota (Mieszkamy we wspólnocie mieszkaniowej)
Воля (У меня свободная воля),Wola (Mam wolną wolę)
Простой (Это простой вопрос),Prosty (To jest proste pytanie)
Около (Встретимся около пяти),Około (Spotkajmy się około piątej)
Решить (Мне нужно решить это задание),Rozwiązać (Muszę rozwiązać to zadanie)
Посетить (Я навестил знакомых в Гданьске),Odwiedzić (Odwiedziłem znajomych w Gdańsku)
Вскоре (Скоро приеду),Wkrótce (Wkrótce przyjadę)
Дождаться (Не могу дождаться каникул),Doczekać (Nie mogę się doczekać wakacji)
Суббота (В субботу мы идём на концерт),Sobota (W sobotę idziemy na koncert)
Кашель (У меня сухой кашель),Kaszel (Mam suchy kaszel)
Беспокоиться (Не беспокойся),Martwić (Nie martw się)
Отправить (Отправь мне имейл),Wysłać (Wyślij mi maila)
Работать (Этот компьютер не работает),Działać (Ten komputer nie działa)
Какой-либо (У тебя есть какие-либо вопросы?),Jakikolwiek (Masz jakieś pytania?)
Отличный (Это отличная идея!),Świetny (To świetny pomysł!)
Особенно (Особенно я люблю лето),Szczególnie (Szczególnie lubię lato)
Ждать (Я жду тебя),Czekać (Czekam na ciebie)
Конец (Конец урока),Koniec (Koniec lekcji)
Гид (Я купил путеводитель по Гданьску),Przewodnik (Kupiłem przewodnik po Gdańsku)
Сомнение (У меня есть сомнения),Wątpliwość (Mam wątpliwości)
Фрагмент (Прочитай фрагмент текста),Fragment (Przeczytaj fragment tekstu)
Парикмахерский (Я иду в парикмахерскую),Fryzjerski (Idę do salonu fryzjerskiego)
Оборудование (Я купил новое оборудование для кухни),Sprzęt (Kupiłem nowy sprzęt do kuchni)
Участник (Я участник курса),Uczestnik (Jestem uczestnikiem kursu)
Задаток (Я внёс задаток),Zaliczki (Wpłaciłem zaliczkę)
Модель (Я купил новую модель телефона),Model (Kupiłem nowy model telefonu)
Обязанность (У меня домашние обязанности),Obowiązek (Mam obowiązki domowe)
Линия (Нарисуй прямую линию),Lić (Narysuj linię prostą)
Короткий (Это короткий текст),Krótki (To krótki tekst)
Предложить (Я предложил новый план),Zaproponować (Zaproponowałem nowy plan)
Понимание (Спасибо за понимание),Zrozumienie (Dziękuję za zrozumienie)
Мир (Я хочу путешествовать по всему миру),Świat (Chcę podróżować po całym świecie)
Занятие (У меня занятия по польскому),Zajęcia (Mam zajęcia z polskiego)
Сеанс (Сеанс начинается в восемь),Seans (Seans zaczyna się o ósmej)
Клуб (Мы идём в клуб в пятницу),Klub (Idziemy do klubu w piątek)
Пользоваться (Я пользуюсь интернетом каждый день),Korzystać (Korzystam z internetu codziennie)
"Меню (Принесите меню, пожалуйста)","Menu (Poproszę menu, proszę)"
Долго (Я долго ждал автобус),Długo (Długo czekałem na autobus)
